year,sport,gender,classification,champion,head_coach,runner_up,champion_score,runner_up_score,score_note,venue
1988,softball,girls,Overall,William Penn,Roe Bianchini,Smyrna,9,2,,
1987,softball,girls,Overall,Claymont,Mike Downs,William Penn,10,6,,
1986,softball,girls,Overall,William Penn,Roe Bianchini,Delmar,6,1,,
1985,softball,girls,Overall,Claymont,Mike Downs,Delcastle,2,1,,
1984,softball,girls,Overall,Padua,Fran O'Malley,William Penn,4,2,,
1983,softball,girls,Overall,Dickinson,Bill Martin,William Penn,3,2,,
1982,softball,girls,Overall,Dickinson,Bill Martin,Middletown,7,1,,
1981,softball,girls,Overall,Saint Mark's,Tom Parkins,Christiana,3,0,,
1980,softball,girls,Overall,Padua,Claire Downes,Dickinson,7,6,,
1979,softball,girls,Overall,Lake Forest,Al Wood,Sussex Central,3,2,,
1978,softball,girls,Overall,Concord,Wayne Smith,A.I. du Pont,4,0,,
1977,softball,girls,Overall,Newark,Lynea Mosteller,Saint Mark's,9,8,,
1976,softball,girls,Overall,Milford,Beverly Breeding,William Penn,15,13,,
2025,golf,overall,Overall,Archmere,,Salesianum,295,307,One Round,St. Anne's
2024,golf,overall,Overall,Archmere,,Tatnall & Caesar Rodney,539,540,,Maple Dale
2023,golf,overall,Overall,Tower Hill,,Tatnall,530,530,Playoff,Baywood Greens
2022,golf,overall,Overall,Sussex Academy,,Tatnall,506,512,,Odessa National
2021,golf,overall,Overall,Tower Hill,,Tatnall,533,537,,Maple Dale
2020,golf,overall,Overall,,,,,,,
2019,golf,overall,Overall,Tower Hill,,Salesianum,523,542,,Cripple Creek
2018,golf,overall,Overall,Tower Hill,,Appoquinimink,531,548,,Odessa National
2017,golf,overall,Overall,Tower Hill,,Archmere,540,543,,Maple Dale
2016,golf,overall,Overall,Tower Hill,,Caesar Rodney,516,538,,Rehoboth Beach
2015,golf,overall,Overall,Salesianum,,Tower Hill,531,548,,Wilmington
2014,golf,overall,Overall,Salesianum,,Archmere,526,550,,Maple Dale
2013,golf,overall,Overall,Caesar Rodney,,Tatnall,605,623,,Rock Manor
2012,golf,overall,Overall,Caesar Rodney,,Tatnall,588,614,,Wild Quail
2011,golf,overall,Overall,Caesar Rodney,,Charter of Wilmington,620,636,,Cripple Creek
2010,golf,overall,Overall,Concord,,Caesar Rodney,629,663,,Maple Dale
2009,golf,overall,Overall,Saint Mark's,,Salesianum,644,648,,Wilmington
2008,golf,overall,Overall,Salesianum,,Saint Mark's,611,629,,Wild Quail
2007,golf,overall,Overall,Salesianum,,Saint Mark's,638,672,,Bayside
2006,golf,overall,Overall,Salesianum,,Saint Mark's,619,641,,Back Creek
2005,golf,overall,Overall,Salesianum,,Tatnall,641,647,,Maple Dale
2004,golf,overall,Overall,Tatnall,,Salesianum,628,640,,Sussex Pines
2003,golf,overall,Overall,Dover,,St. Mark's & Salesianum,649,657,,Wilmington
2002,golf,overall,Overall,Tatnall,,Dover,617,621,,Wild Quail
2001,golf,overall,Overall,A.I. du Pont,,Tatnall,621,626,,DuPont
2000,golf,overall,Overall,Dover,,Milford,638,652,,Shawnee
1999,golf,overall,Overall,Dover,,Salesianum,649,661,,Maple Dale
1998,golf,overall,Overall,Caesar Rodney,,Smyrna,623,636,,Wild Quail
1997,golf,overall,Overall,Dover,,Salesianum,628,,,Rehoboth Beach
1996,golf,overall,Overall,Dover,,Salesianum,633,,,Garrison's Lake
1995,golf,overall,Overall,Dover,,Sals & Dickinson,631,,,Maple Dale
1994,golf,overall,Overall,Dover,,Caesar Rodney,643,,,Wild Quail
1993,golf,overall,Overall,Dover,,Seaford,668,,,Garrison's Lake
